Component,Distributor,Manufacturer,Dist number,,,Quantity,,,
,,,,,,,,,
"PC Fuse Clip 0.25""",Mouser,Keystone 3529,534-3529,,,10,,,
"FUSE.STD, FU633 1 1/4 X 1/4 
6.3A",Jameco,,197552,,,5,,,
(Alternate) 3AG fuse 6A ,Mouser,Bussmann FAST ACT FUSE 5A,504-AGC-6,,,0,,,
"0.250"" PCB terminal",Mouser,Keystone 1287,534-1287,,,16,,,
Bridge Rectifier 35A 200V,Mouser,General Semi GBPC3502W,625-GBPC3502W,,,,,,
(Alternate) rectifier,Newark,GBPC3502W,,,,1,,,
Diode 1N4762A,Mouser,General Semi 1N4762A,625-1N4762A,,,5,,,
Heat Sink,Mouser,Aavid 530714B,532530614B00,,,1,,,
Thermal Compound,Mouser,,524-8109,,,0.01,,,
LED,Jameco,T 1 3/4 Green,333956CM,,,1,,,
Resistor - LED dropping,digikey,8.2K 2W,8.2KW-2-ND,,,1,,,
Resistor - power drain,mouser,2.2K 3w,72-RWM410-2K2-5,,,1,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
